Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-72925814	41307333	14	1	1100	0	0	0	0	highway=footway foot=yes		0	17
-72926315	41307534	14	50	1100	0	9	0	0	reversedirection=yes highway=footway foot=yes	highway=crossing	5	964
-72928479	41307346	16	186	1100	0	2	0	0	highway=footway foot=yes		31	5618
-72928521	41307338	16	4	1100	0	0	0	0	reversedirection=yes highway=footway foot=yes		31	5722
-72928621	41307363	17	9	31000	0	1	0	0	highway=footway footway=crossing	highway=crossing crossing=traffic_signals	38	5826
-72928766	41307327	17	19	31000	0	9	0	0	highway=footway footway=crossing	highway=crossing crossing=traffic_signals	52	6106
-72930241	41307919	17	141	30500	0	287	0	0	highway=secondary surface=asphalt lanes=2 oneway=yes	highway=crossing crossing=traffic_signals	148	6665
-72930324	41307955	17	9	30500	0	0	100	0	highway=secondary surface=asphalt lanes=2 oneway=yes	highway=traffic_signals	154	6665
-72930380	41307974	16	6	30500	0	1	0	0	highway=secondary surface=asphalt lanes=2 oneway=yes	highway=crossing crossing=traffic_signals	158	6665
-72931546	41308457	14	113	30500	0	0	0	0	highway=secondary surface=asphalt lanes=2 oneway=yes	highway=crossing crossing=traffic_signals	230	6665
-72931642	41308471	14	9	30500	0	12	100	0	highway=secondary surface=asphalt lanes=2 oneway=yes	highway=traffic_signals	236	6665
-72931588	41308547	14	2	30500	0	324	0	0	highway=secondary surface=asphalt lanes=2 oneway=yes		237	6665
-72931642	41308471	14	2	50500	0	0	100	0	reversedirection=yes highway=secondary surface=asphalt lanes=2 oneway=yes	highway=traffic_signals	238	6665
-72931733	41308489	14	8	30500	0	192	0	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	244	6665
-72933483	41308878	14	154	30500	0	0	0	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=uncontrolled	347	6665
-72933563	41308895	14	7	30500	0	0	100	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	352	6665
-72933653	41308915	13	9	30500	0	0	0	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=uncontrolled	357	6665
-72935404	41309306	15	155	30500	0	0	0	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	463	6721
-72935509	41309329	15	10	30500	0	0	100	0	highway=secondary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	470	6771
-72935595	41309348	15	8	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	475	6829
-72936900	41309636	14	114	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=uncontrolled	553	6829
-72936973	41309652	14	7	30500	0	0	100	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	558	6829
-72937049	41309669	14	7	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=uncontrolled	563	6829
-72939152	41310144	15	185	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	688	6951
-72939216	41310159	15	6	30500	0	0	100	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	692	6951
-72939280	41310173	15	6	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	696	6951
-72941369	41310644	15	186	30500	0	0	0	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	825	7266
-72941448	41310661	15	7	30500	0	0	100	0	highway=secondary lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	829	7266
-72941535	41310681	15	8	30500	0	0	0	0	highway=secondary surface=asphalt cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	835	7266
-72944435	41311339	18	257	30500	0	0	0	0	highway=secondary surface=asphalt cycleway=shared_lane oneway=yes	highway=crossing	1015	8354
-72944561	41311367	18	11	30500	0	0	100	0	highway=secondary surface=asphalt cycleway=shared_lane oneway=yes	highway=traffic_signals	1023	8354
-72944675	41311392	18	10	30500	0	0	0	0	highway=primary surface=asphalt cycleway=shared_lane oneway=yes	highway=crossing	1030	8354
-72945736	41311619	18	93	30500	0	0	0	0	highway=primary surface=asphalt cycleway=shared_lane oneway=yes		1094	8424
-72946164	41311718	18	38	5500	0	0	0	0	highway=tertiary surface=asphalt lanes=1 bicycle=designated cycleway=shared_lane oneway=yes		1121	8719
-72946848	41311876	19	61	5500	0	0	0	0	highway=tertiary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=crossing crossing=traffic_signals	1166	9373
-72946948	41311899	18	9	5500	0	0	100	0	highway=tertiary surface=asphalt lanes=2 cycleway=shared_lane oneway=yes	highway=traffic_signals	1172	9440
-72947067	41311925	18	11	5500	0	0	0	0	highway=tertiary surface=asphalt lanes=2 cycleway:right=shared_lane	highway=crossing crossing=traffic_signals	1180	9475
-72948496	41312243	16	125	5500	0	0	0	0	highway=tertiary surface=asphalt lanes=2 cycleway:right=shared_lane	highway=crossing crossing=traffic_signals	1263	9475
-72948591	41312264	15	9	5500	0	0	100	0	highway=tertiary surface=asphalt lanes=2 cycleway:right=shared_lane	highway=traffic_signals	1270	9496
-72948724	41312293	15	12	5500	0	0	0	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=crossing crossing=traffic_signals	1278	9496
-72950285	41312635	14	137	5500	0	0	0	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=crossing crossing=traffic_signals	1372	9496
-72950378	41312655	14	9	5500	0	0	100	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=traffic_signals	1378	9542
-72950472	41312675	14	9	5500	0	0	0	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=crossing crossing=traffic_signals	1385	9590
-72951902	41312991	15	125	5500	0	0	0	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=crossing	1476	11293
-72952024	41313018	15	11	5500	0	0	100	0	highway=tertiary surface=asphalt cycleway:right=shared_lane	highway=traffic_signals	1484	11379
-72952160	41313048	15	12	5500	0	0	0	0	highway=tertiary maxspeed=40 cycleway:right=shared_lane	highway=crossing	1493	11473
-72952121	41313145	15	12	31000	0	10	0	0	highway=footway footway=crossing		1502	11590
-72952093	41313150	15	3	31000	0	5	0	0	highway=footway footway=sidewalk		1504	11618
-72952159	41313360	16	24	1100	0	10	0	0	reversedirection=yes highway=footway		1507	12256
-72955914	41323140	9	1323	1100	0	594	0	0	highway=pedestrian foot=yes bicycle=yes cycleway=track	barrier=gate	1679	43201
-72956988	41324956	6	253	2000	0	45	100	0	highway=service foot=yes bicycle=yes cycleway=track	highway=traffic_signals	1712	49187
-72956924	41325049	6	12	30500	0	1	0	0	highway=primary	highway=crossing	1721	49210
-72956979	41325078	6	6	31000	0	8	0	0	reversedirection=yes highway=footway footway=crossing		1725	49210
-72957462	41325347	3	52	31000	0	0	0	0	reversedirection=yes highway=footway footway=sidewalk		1759	49210
-72958928	41328031	6	362	1100	0	9	0	0	reversedirection=yes highway=footway		1806	57700
-72958456	41328161	6	43	31000	0	10	0	0	reversedirection=yes highway=footway footway=sidewalk		1836	57700
-72958482	41328216	6	7	2000	0	246	0	0	highway=service		1837	57857
-72959119	41328028	6	59	5500	0	254	0	0	highway=tertiary		1879	58069
-72959670	41329530	7	197	2000	0	613	0	0	reversedirection=yes highway=service surface=asphalt		1903	62438
-72959782	41329716	7	24	1000	0	8	0	0	reversedirection=yes highway=footway surface=dirt		1906	62973
-72959789	41329939	7	25	1000	0	0	0	0	reversedirection=yes highway=footway surface=wood		1909	63544
-72962986	41331653	34	351	1200	137	8	0	0	reversedirection=yes highway=path surface=dirt foot=yes		2043	87580
-72956995	41333183	23	618	6200	36	28	0	0	highway=path surface=dirt foot=yes bicycle=no		2475	94440
-72957552	41333193	26	52	6200	0	15	0	0	reversedirection=yes highway=path surface=dirt foot=yes bicycle=no		2513	94810
-72967209	41344912	70	1836	1200	245	36	0	0	highway=path surface=dirt foot=yes		2938	171401
-72967872	41344824	76	59	5000	0	94	0	0	highway=unclassified surface=paved bicycle=yes cycleway=shared_lane		2984	173232
-72967982	41344935	76	16	1100	0	225	0	0	highway=pedestrian surface=paved bicycle=yes cycleway=track	barrier=gate	2988	173885
-72969544	41347459	92	344	1100	53	166	0	0	highway=pedestrian surface=paved bicycle=yes cycleway=track		3070	188656
-72969683	41350683	85	417	1000	66	46	0	0	highway=footway surface=dirt		3163	205362
-72966516	41360295	80	1215	1200	0	11	0	0	highway=path surface=dirt foot=yes		3324	234406
-72966088	41360107	80	42	1000	0	12	0	0	highway=footway surface=dirt foot=yes		3329	235215
-72965994	41360085	80	9	1100	0	0	0	0	highway=footway foot=yes		3330	235395
-72965841	41360036	79	14	1000	0	0	0	0	highway=footway surface=dirt foot=yes		3331	235673
-72956824	41379555	82	2399	1000	0	120	0	0	highway=track surface=dirt foot=yes		3673	297095
-72956799	41379619	82	8	1200	0	0	0	0	highway=path surface=dirt foot=yes	barrier=gate	3674	297276
-72950864	41391929	96	1777	1200	0	15	0	0	highway=path surface=dirt foot=yes		3949	346789
-72950296	41391951	97	50	5000	0	311	0	0	highway=residential foot=yes		3986	347553
-72950215	41392026	97	11	1000	0	34	0	0	highway=track surface=dirt foot=yes	barrier=gate	3987	347882
-72945016	41395547	91	1200	1000	152	84	0	0	highway=track surface=dirt foot=yes		4211	388099
-72942169	41397563	96	420	1200	0	18	0	0	highway=path surface=dirt foot=yes		4270	398734
-72939823	41398142	93	237	1200	0	9	0	0	reversedirection=yes highway=path surface=dirt foot=yes		4297	403646
-72942663	41402394	133	597	5000	108	520	0	0	highway=residential	barrier=gate	4805	432982
-72943748	41406138	162	449	1100	241	35	0	0	reversedirection=yes highway=pedestrian		4991	466493
-72942982	41406513	163	79	1200	0	5	0	0	highway=path surface=dirt		5004	468897
-72946828	41408308	126	546	6200	143	9	0	0	highway=path surface=dirt foot=yes bicycle=no		5383	471967
-72948695	41416203	131	995	1200	78	41	0	0	highway=path		5565	504719
-72949853	41416167	120	160	6200	0	6	0	0	reversedirection=yes highway=path surface=dirt foot=yes bicycle=no	barrier=block	5664	504719
-72949924	41416194	120	7	6200	0	0	0	0	reversedirection=yes highway=path surface=dirt foot=yes bicycle=no		5668	504719
-72949799	41416842	122	76	5500	0	217	0	0	highway=tertiary foot=yes		5719	504734
-72951696	41426776	213	1701	6200	696	49	0	0	highway=path surface=dirt foot=yes bicycle=no		7173	587575
-72953998	41424855	187	303	1000	25	92	0	0	reversedirection=yes highway=track	barrier=gate	7198	592074
