Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-72121127	41999180	222	1406	1000	0	179	0	0	highway=track		186	33618
-72128400	41990938	222	1914	1000	476	211	0	0	reversedirection=yes highway=track foot=yes bicycle=yes		597	107331
-72128475	41990952	222	7	30500	0	187	0	0	highway=secondary		601	107331
-72136249	41983270	213	1143	1000	0	99	0	0	reversedirection=yes highway=track surface=unpaved		744	133171
-72139692	41976996	238	834	1000	0	102	0	0	reversedirection=yes highway=track		901	161305
-72135084	41973399	315	703	1000	636	90	0	0	reversedirection=yes highway=track surface=unpaved		1293	231846
-72127710	41959540	248	2116	1000	0	553	0	0	highway=unclassified surface=unpaved		1522	273086
-72128171	41959133	251	60	1000	0	136	0	0	reversedirection=yes highway=unclassified surface=unpaved		1532	274898
-72143306	41955437	261	1483	1000	146	122	0	0	reversedirection=yes highway=track surface=unpaved		1808	324563
-72138774	41940574	238	1960	1000	0	99	0	0	highway=track surface=unpaved		2065	370809
-72138550	41938992	239	191	5000	0	469	0	0	reversedirection=yes highway=residential surface=asphalt		2197	371378
-72131391	41918329	190	2646	1000	0	52	0	0	highway=track surface=earth		2513	428310
-72131018	41917710	188	79	1000	0	6	0	0	highway=residential surface=unpaved		2521	429709
-72082066	41902365	167	5087	5000	80	249	0	0	reversedirection=yes highway=residential surface=asphalt	highway=crossing crossing=uncontrolled	6169	498550
-72080237	41902069	162	163	5000	0	11	0	0	reversedirection=yes highway=residential surface=asphalt	highway=stop direction=backward	6270	498550
-72080187	41902056	161	5	5000	0	0	0	0	reversedirection=yes highway=residential surface=asphalt	highway=crossing crossing=unknown	6273	498550
-72079979	41902000	161	19	5000	0	0	0	0	reversedirection=yes highway=residential surface=asphalt		6285	498550
-72079870	41901971	160	10	5000	0	0	0	0	highway=residential surface=asphalt	highway=stop direction=backward	6291	498550
-72064292	41902675	158	1370	5000	76	61	0	0	highway=residential surface=asphalt		7269	519276
-72044430	41886490	255	2924	5000	442	506	0	0	reversedirection=yes highway=residential surface=asphalt		9614	618862
-72043544	41886078	259	87	5000	26	0	0	0	reversedirection=yes highway=residential		9687	622924
-72044046	41878846	256	816	5000	5	229	0	0	reversedirection=yes highway=residential surface=asphalt		10275	632279
-72051864	41869413	226	1419	1000	0	107	0	0	reversedirection=yes highway=track surface=earth		10438	661490
-72051015	41868825	228	98	1000	0	51	0	0	reversedirection=yes highway=track		10448	663322
-72050417	41868013	229	106	2000	0	9	0	0	reversedirection=yes highway=service surface=asphalt	barrier=gate	10462	665820
-72050301	41867635	228	46	2000	0	18	0	0	reversedirection=yes highway=service surface=asphalt		10468	666921
-72048657	41866354	236	198	30500	0	79	0	0	highway=primary lanes=2		10626	673701
-72047911	41865403	234	127	1000	0	22	0	0	highway=track	barrier=block	10643	676861
-72047769	41865247	233	21	1000	0	0	0	0	highway=track		10646	677303
-72054904	41842962	205	2780	1000	61	536	0	0	highway=service surface=unpaved foot=yes bicycle=yes		11026	745726
-72056438	41842602	217	137	1000	1	48	0	0	reversedirection=yes highway=track surface=unpaved foot=yes bicycle=yes		11063	752455
-72066639	41835518	221	1339	1000	102	187	0	0	reversedirection=yes highway=track surface=earth		11303	795724
-72067154	41831865	208	613	1000	46	124	0	0	reversedirection=yes highway=track		11370	807727
-72081637	41825613	217	1637	1000	90	164	0	0	reversedirection=yes highway=track foot=yes bicycle=yes		11659	859734
-72084289	41831056	204	655	1000	0	293	0	0	highway=service surface=unpaved foot=yes bicycle=yes		11724	871384
-72097716	41822623	142	1840	1000	138	441	0	0	reversedirection=yes highway=service surface=unpaved		11929	908402
-72093986	41816279	191	782	5000	223	418	0	0	reversedirection=yes highway=residential surface=asphalt		12596	947637
-72094341	41816121	192	36	1000	0	54	0	0	highway=track surface=unpaved foot=yes bicycle=yes		12602	948719
-72099357	41814603	193	848	1200	45	19	0	0	reversedirection=yes highway=path foot=yes bicycle=yes		12743	974163
-72098680	41809033	192	685	1000	5	29	0	0	reversedirection=yes highway=track foot=yes bicycle=yes	highway=crossing	12851	993578
-72100042	41807532	174	204	1000	0	0	0	0	reversedirection=yes highway=track		12866	996335
-72093961	41801964	202	806	1000	92	34	0	0	reversedirection=yes highway=track surface=unpaved		13046	1028646
-72091116	41798684	197	457	5000	0	58	0	0	reversedirection=yes highway=residential surface=asphalt		13359	1030627
-72090730	41798589	194	35	5000	0	0	0	0	reversedirection=yes highway=residential		13380	1030627
