Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-73487982	41784512	284	2314	1000	228	21	0	0	highway=track tracktype=grade2 surface=compacted		500	90165
-73480444	41804629	324	2474	1000	32	431	0	0	highway=residential surface=compacted		947	170581
-73474655	41809489	336	985	5000	25	257	0	0	highway=residential surface=asphalt		1682	192470
-73432418	41822861	367	4207	1000	556	506	0	0	highway=residential surface=compacted		2502	339689
-73425574	41826536	361	738	5000	0	213	0	0	highway=residential surface=asphalt		3032	350395
-73426971	41830101	390	414	5000	130	337	0	0	highway=residential		3390	372775
-73426130	41830465	384	81	5000	0	206	0	0	reversedirection=yes highway=residential		3443	372775
-73405104	41835639	362	1934	1000	209	96	0	0	highway=residential surface=gravel oneway=no		3746	425788
-73407209	41847511	403	1344	5000	358	284	0	0	highway=residential surface=asphalt		4830	475001
-73431526	41866019	366	3190	1000	83	742	0	0	highway=residential surface=compacted		5278	555792
-73441589	41885661	342	3031	5000	0	397	0	0	highway=residential surface=asphalt		7426	591069
-73411492	41886963	281	2670	5500	195	417	0	0	reversedirection=yes highway=unclassified surface=asphalt		9268	612193
-73412890	41888038	284	180	1000	2	89	0	0	reversedirection=yes highway=track	highway=turning_circle	9303	618407
-73401901	41892366	357	1181	1000	503	95	0	0	reversedirection=yes highway=track	highway=crossing	9706	690955
-73375401	41892892	360	4402	1000	688	177	0	0	reversedirection=yes highway=track		10552	843350
-73361584	41888498	189	1420	5000	930	603	0	0	highway=residential surface=asphalt		11630	843350
-73365084	41871792	174	2127	30500	0	331	0	0	reversedirection=yes highway=primary lanes=2		13104	854304
-73364095	41871529	161	89	30500	0	40	0	0	highway=secondary		13160	854304
-73363455	41871592	158	54	30500	0	2	0	0	highway=secondary lanes=1		13194	854304
-73361915	41871582	165	129	30500	0	2	0	0	highway=secondary lanes=2		13295	858340
-73363478	41873537	168	261	5000	0	353	0	0	highway=residential surface=asphalt route_bicycle_ncn=yes	railway=level_crossing	13491	863356
-73364195	41879506	169	678	5000	0	31	0	0	highway=residential surface=asphalt route_bicycle_ncn=yes	railway=level_crossing	13985	871329
-73358086	41892239	172	1661	1000	0	8	0	0	highway=track surface=compacted route_bicycle_ncn=yes	railway=level_crossing	14234	916182
-73359151	41903367	173	1257	1000	0	6	0	0	highway=track surface=compacted route_bicycle_ncn=yes	railway=level_crossing	14424	950334
-73360574	41913552	164	1152	1000	0	5	0	0	highway=track surface=compacted route_bicycle_ncn=yes	railway=level_crossing	14575	977648
-73358361	41918716	178	617	1000	0	7	0	0	highway=track surface=compacted route_bicycle_ncn=yes		14690	998209
-73356166	41923095	193	536	5000	48	10	0	0	highway=residential surface=asphalt route_bicycle_ncn=yes		15113	1015330
-73342552	41918240	278	1327	5000	648	447	0	0	reversedirection=yes highway=residential surface=asphalt		16322	1102471
-73341249	41918509	279	133	5000	0	92	0	0	highway=residential surface=asphalt		16422	1104939
-73341229	41918564	278	7	5000	0	10	0	0	highway=residential		16427	1105016
-73315557	41921098	320	2659	5000	75	98	0	0	highway=residential surface=asphalt		18433	1163689
-73303753	41913662	390	1413	1000	466	120	0	0	reversedirection=yes highway=track tracktype=grade2 surface=compacted		18878	1243704
-73297217	41909631	440	723	1000	404	33	0	0	reversedirection=yes highway=residential tracktype=grade2 surface=compacted		19172	1296757
-73296325	41909225	442	89	1000	0	1	0	0	reversedirection=yes highway=track surface=earth		19187	1299455
-73295145	41908259	450	147	1000	45	1	0	0	reversedirection=yes highway=track surface=compacted		19228	1306784
-73296084	41904139	440	584	1000	0	331	0	0	reversedirection=yes highway=residential surface=compacted		19310	1321625
-73297660	41898562	393	1135	5000	117	574	0	0	reversedirection=yes highway=residential surface=asphalt		20066	1321844
-73283336	41897957	283	1410	1000	664	691	0	0	highway=residential surface=compacted		20205	1343412
-73283120	41897881	284	20	1000	0	0	0	0	highway=residential surface=gravel		20207	1343675
-73267470	41899724	322	1351	5000	137	117	0	0	highway=residential surface=paved		21259	1381609
-73268145	41901279	315	184	30500	0	208	0	0	highway=primary		21379	1381609
-73264600	41902862	324	356	1000	0	356	0	0	reversedirection=yes highway=residential surface=unpaved		21441	1392858
-73248499	41924624	412	2792	1000	585	290	0	0	highway=service surface=compacted access=yes		22140	1518757
-73248475	41924717	412	11	1000	0	2	0	0	highway=service surface=unpaved access=yes		22142	1519013
-73250995	41953146	484	3632	1000	418	808	0	0	highway=service surface=compacted access=yes		22924	1659812
-73248469	41955429	486	341	1000	17	49	0	0	highway=service surface=unpaved access=yes		22988	1671263
-73226237	41968163	444	2625	1100	216	19	0	0	reversedirection=yes highway=footway		23369	1739115
-73228912	41971494	471	452	1000	93	6	0	0	highway=footway surface=ground		23494	1761601
-73230991	41977856	429	991	1000	68	23	0	0	reversedirection=yes highway=footway surface=ground		23602	1781036
-73226274	41979911	403	881	1200	65	33	0	0	highway=path		23691	1797091
-73222476	41986885	396	945	2000	0	428	0	0	highway=service access=permissive		23817	1819856
-73200228	41987148	382	1926	5000	0	265	0	0	highway=residential surface=asphalt		25162	1835521
-73199843	41989026	391	217	1100	16	7	0	0	highway=footway footway=sidewalk		25212	1844500
-73199770	41989027	391	7	1100	0	9	0	0	reversedirection=yes highway=footway footway=sidewalk		25213	1844797
-73199672	41989036	391	10	1100	0	0	0	0	highway=footway footway=crossing		25215	1845201
-73198740	41989246	391	92	1100	0	4	0	0	reversedirection=yes highway=footway footway=sidewalk		25232	1848122
-73198727	41989365	390	15	1100	0	0	0	0	reversedirection=yes highway=footway footway=crossing		25234	1848497
-73196651	41991148	394	277	1100	0	12	0	0	highway=footway footway=sidewalk		25278	1856443
-73197460	41992954	381	261	5000	0	389	0	0	highway=residential surface=asphalt		25447	1856443
-73195670	41995428	405	328	5000	82	131	0	0	reversedirection=yes highway=residential surface=asphalt		25717	1869816
-73190346	41998978	395	900	1200	21	27	0	0	highway=path bicycle=yes		25862	1895756
-73189415	42000061	397	144	5000	0	232	0	0	highway=residential surface=asphalt		25964	1896913
